axiom_pattern;axiom;template;question;question_type;op_category;ontology;file;question_type_short;op_category_short;row_id
[Z] SubclassOf([prop] only [Y]);TemporaryClosure SubclassOf(isProvidedBy only CulturalInstituteOrSite),TemporaryClosure SubclassOf(AccessCondition);Which [X/noArticle] is [prop/*OP_IS_PAST_PARTICIPLE_BY] [Y]?;Which access condition is provided by a cultural institute or site?;op_What-2-part-1-rel;OP_IS_PAST_PARTICIPLE_BY;Cultural-On;What-2-part-1-rel.csv;w2p1r;is_pp_b;5900
[Z] SubclassOf([prop] only [Y]);ImageObject SubclassOf(describes only CulturalEntity),ImageObject SubclassOf(CreativeWork);Which [X/noArticle] [prop/*OP_VERB-third] [Y]?;Which creative work describes a cultural entity?;op_What-2-part-1-rel;OP_VERB;Cultural-On;What-2-part-1-rel.csv;w2p1r;verb;4496
[Z] SubclassOf([prop] only [Y]);VideoObject SubclassOf(isSubEventOf only Event),VideoObject SubclassOf(CreativeWork);Which [X/noArticle] is [prop/*OP_IS_NOUNS_PREP] only [Y]?;Which creative work is a sub event of only an event?;op_What-2-part-1-rel-quant-only;OP_IS_NOUNS_PREP;Cultural-On;What-2-part-1-rel-quant-only.csv;w2p1r_qo;is_noun_prep;7286
[Z] SubclassOf([prop] only [Y]);NewsArticle SubclassOf(isSubjectOf only CreativeWork),NewsArticle SubclassOf(CreativeWork);Which [X/noArticle] is [prop/*OP_IS_NOUNS_PREP] only [Y]?;Which creative work is a subject of only creative work?;op_What-2-part-1-rel-quant-only;OP_IS_NOUNS_PREP;Cultural-On;What-2-part-1-rel-quant-only.csv;w2p1r_qo;is_noun_prep;7240
[Z] SubclassOf([prop] only [Y]);CultReseachCenter SubclassOf(includes only Ticket),CultReseachCenter SubclassOf(CulturalEntity);Which [X/noArticle] [prop/*OP_VERB-third] only [Y]?;Which cultural entity includes only a ticket?;op_What-2-part-1-rel-quant-only;OP_VERB;Cultural-On;What-2-part-1-rel-quant-only.csv;w2p1r_qo;verb;6173
[Z] SubclassOf([prop] only [Y]);CulturalHeritageObject SubclassOf(isPartOf only CulturalInstituteOrSite),CulturalHeritageObject SubclassOf(CulturalEntity);Which [X/noArticle] is [prop/*OP_IS_NOUNS_PREP] only [Y]?;Which cultural entity is part of only a cultural institute or site?;op_What-2-part-1-rel-quant-only;OP_IS_NOUNS_PREP;Cultural-On;What-2-part-1-rel-quant-only.csv;w2p1r_qo;is_noun_prep;7383
[Z] SubclassOf([prop] only [Y]);CulturalLandscapeAsset SubclassOf(describes only Collection),CulturalLandscapeAsset SubclassOf(CulturalInstituteOrSite);Which [X/noArticle] [prop/*OP_VERB-third] only [Y]?;Which cultural institute or site describes only a collection?;op_What-2-part-1-rel-quant-only;OP_VERB;Cultural-On;What-2-part-1-rel-quant-only.csv;w2p1r_qo;verb;6213
[Z] SubclassOf([prop] only [Y]);CultReseachCenter SubclassOf(isValidDuring only TimeInterval),CultReseachCenter SubclassOf(CulturalInstituteOrSite);Which [X/noArticle] is [prop/*OP_IS_NOUNS_PREP] only [Y]?;Which cultural institute or site is a valid during only time interval?;op_What-2-part-1-rel-quant-only;OP_IS_NOUNS_PREP;Cultural-On;What-2-part-1-rel-quant-only.csv;w2p1r_qo;is_noun_prep;7377
[Z] SubclassOf([prop] only [Y]);CulturalLandscapeAsset SubclassOf(hasAccessCondition only AccessCondition),CulturalLandscapeAsset SubclassOf(CulturalInstituteOrSite);Which [X/noArticle] [prop/*OP_HAS_NOUNS-third] that is only [Y]?;Which cultural institute or site has an access condition that is only an access condition?;op_What-2-part-1-rel-quant-only;OP_HAS_NOUNS;Cultural-On;What-2-part-1-rel-quant-only.csv;w2p1r_qo;has_nouns;7076
[Z] SubclassOf([prop] only [Y]);CultReseachCenter SubclassOf(hasCurrency only Currency),CultReseachCenter SubclassOf(CulturalInstituteOrSite);Which [X/noArticle] [prop/*OP_HAS_NOUNS-third] that is only [Y]?;Which cultural institute or site has currency that is only currency?;op_What-2-part-1-rel-quant-only;OP_HAS_NOUNS;Cultural-On;What-2-part-1-rel-quant-only.csv;w2p1r_qo;has_nouns;6933
[Z] SubclassOf([prop] only [Y]);CultReseachCenter SubclassOf(isSiteOf only CulturalInstituteOrSite),CultReseachCenter SubclassOf(CulturalEntity);Which [X/noArticle] is [prop/*OP_IS_NOUNS_PREP] only [Y]?;Which cultural entity is a site of only a cultural institute or site?;op_What-2-part-1-rel-quant-only;OP_IS_NOUNS_PREP;Cultural-On;What-2-part-1-rel-quant-only.csv;w2p1r_qo;is_noun_prep;7369
[Z] SubclassOf([prop] only [Y]);HolderOfArchive SubclassOf(hasMember only CulturalEntity),HolderOfArchive SubclassOf(CulturalEntity);Which [X/noArticle] [prop/*OP_HAS_NOUNS-third] that is only [Y]?;Which cultural entity has a member that is only a cultural entity?;op_What-2-part-1-rel-quant-only;OP_HAS_NOUNS;Cultural-On;What-2-part-1-rel-quant-only.csv;w2p1r_qo;has_nouns;7004
[Z] SubclassOf([prop] some [Y]);MonumentalArea SubclassOf(hasSite some Site),MonumentalArea SubclassOf(CulturalInstituteOrSite);Which [X/noArticle] [prop/*OP_HAS_NOUNS-third] that is some [Y]?;Which cultural institute or site has a site that is some site?;op_What-2-part-1-rel-quant-some;OP_HAS_NOUNS;Cultural-On;What-2-part-1-rel-quant-some.csv;w2p1r_qs;has_nouns;7610
[Z] SubclassOf([prop] some [Y]);CultReseachCenter SubclassOf(hasSite some Site),CultReseachCenter SubclassOf(CulturalEntity);Which [X/noArticle] [prop/*OP_HAS_NOUNS-third] that is some [Y]?;Which cultural entity has a site that is some site?;op_What-2-part-1-rel-quant-some;OP_HAS_NOUNS;Cultural-On;What-2-part-1-rel-quant-some.csv;w2p1r_qs;has_nouns;7638
[Z] SubclassOf([prop] some [Y]);Theatre SubclassOf(hasCISType some CISType),Theatre SubclassOf(CulturalEntity);Which [X/noArticle] [prop/*OP_HAS_NOUNS-third] that is some [Y]?;Which cultural entity has a type that is some cultural institute or site type?;op_What-2-part-1-rel-quant-some;OP_HAS_NOUNS;Cultural-On;What-2-part-1-rel-quant-some.csv;w2p1r_qs;has_nouns;7615
[Z] SubclassOf([prop] some [Y]);Library SubclassOf(hasCISType some CISType),Library SubclassOf(CulturalEntity);Which [X/noArticle] [prop/*OP_HAS_NOUNS-third] that is some [Y]?;Which cultural entity has a type that is some cultural institute or site type?;op_What-2-part-1-rel-quant-some;OP_HAS_NOUNS;Cultural-On;What-2-part-1-rel-quant-some.csv;w2p1r_qs;has_nouns;7623
[Z] SubclassOf([prop] some [Y]);Museum SubclassOf(hasSite some Site),Museum SubclassOf(CulturalEntity);Which [X/noArticle] [prop/*OP_HAS_NOUNS-third] that is some [Y]?;Which cultural entity has a site that is some site?;op_What-2-part-1-rel-quant-some;OP_HAS_NOUNS;Cultural-On;What-2-part-1-rel-quant-some.csv;w2p1r_qs;has_nouns;7632
[Z] SubclassOf([prop] some [Y]);ArchaeologicalPark SubclassOf(hasCISType some CISType),ArchaeologicalPark SubclassOf(CulturalEntity);Which [X/noArticle] [prop/*OP_HAS_NOUNS-third] that is some [Y]?;Which cultural entity has a type that is some cultural institute or site type?;op_What-2-part-1-rel-quant-some;OP_HAS_NOUNS;Cultural-On;What-2-part-1-rel-quant-some.csv;w2p1r_qs;has_nouns;7627
[Z] SubclassOf([prop] some [Y]);Library SubclassOf(hasSite some Site),Library SubclassOf(CulturalEntity);Which [X/noArticle] [prop/*OP_HAS_NOUNS-third] that is some [Y]?;Which cultural entity has a site that is some site?;op_What-2-part-1-rel-quant-some;OP_HAS_NOUNS;Cultural-On;What-2-part-1-rel-quant-some.csv;w2p1r_qs;has_nouns;7624
[Z] SubclassOf([prop] some [Y]);ArchaeologicalArea SubclassOf(hasSite some Site),ArchaeologicalArea SubclassOf(CulturalInstituteOrSite);Which [X/noArticle] [prop/*OP_HAS_NOUNS-third] that is some [Y]?;Which cultural institute or site has a site that is some site?;op_What-2-part-1-rel-quant-some;OP_HAS_NOUNS;Cultural-On;What-2-part-1-rel-quant-some.csv;w2p1r_qs;has_nouns;7614
[Z] SubclassOf([prop] some [Y]);HolderOfArchive SubclassOf(hasSite some Site),HolderOfArchive SubclassOf(CulturalEntity);Which [X/noArticle] [prop/*OP_HAS_NOUNS-third] that is some [Y]?;Which cultural entity has a site that is some site?;op_What-2-part-1-rel-quant-some;OP_HAS_NOUNS;Cultural-On;What-2-part-1-rel-quant-some.csv;w2p1r_qs;has_nouns;7642
[Z] SubclassOf([prop] some [Y]);Cinema SubclassOf(hasSite some Site),Cinema SubclassOf(CulturalInstituteOrSite);Which [X/noArticle] [prop/*OP_HAS_NOUNS-third] that is some [Y]?;Which cultural institute or site has a site that is some site?;op_What-2-part-1-rel-quant-some;OP_HAS_NOUNS;Cultural-On;What-2-part-1-rel-quant-some.csv;w2p1r_qs;has_nouns;7622
[X] SubclassOf([prop] only [Y]);Theatre SubclassOf(hasCollection only Collection);True or false: [X] [prop/*OP_HAS_NOUNS-third] that is [Y].;True or false: A theatre has a collection that is a collection.;op_Yes-No-2-part-1-rel;OP_HAS_NOUNS;Cultural-On;Yes-No-2-part-1-rel.csv;yn2p1r;has_nouns;12067
[X] SubclassOf([prop] only [Y]);CulturalInstituteOrSite SubclassOf(hasSiteDescription only SiteDescription);True or false: [X] [prop/*OP_HAS_NOUNS-third] that is [Y].;True or false: A cultural institute or site has a site description that is a site description.;op_Yes-No-2-part-1-rel;OP_HAS_NOUNS;Cultural-On;Yes-No-2-part-1-rel.csv;yn2p1r;has_nouns;12883
[X] SubclassOf([prop] only [Y]);CultReseachCenter SubclassOf(offers only Offer);Does [X] [prop/*OP_VERB-infinitive] [Y]?;Does a cultural reseach and promotion center offer an offer?;op_Yes-No-2-part-1-rel;OP_VERB;Cultural-On;Yes-No-2-part-1-rel.csv;yn2p1r;verb;8007
[X] SubclassOf([prop] only [Y]);Project SubclassOf(catalogue only Catalogue);[X] [prop/*OP_HAS_NOUNS-third] that is [Y]. True or false?;A project catalogues that is a catalogue. True or false?;op_Yes-No-2-part-1-rel;OP_HAS_NOUNS;Cultural-On;Yes-No-2-part-1-rel.csv;yn2p1r;has_nouns;11240
[X] SubclassOf([prop] only [Y]);AccessCondition SubclassOf(hasMeasurementUnit only MeasurementUnit);True or false: [X] [prop/*OP_HAS_NOUNS-third] that is [Y].;True or false: An access condition has a measurement unit that is a measurement unit.;op_Yes-No-2-part-1-rel;OP_HAS_NOUNS;Cultural-On;Yes-No-2-part-1-rel.csv;yn2p1r;has_nouns;13287
[X] SubclassOf([prop] only [Y]);OpeningHoursSpecification SubclassOf(isSubjectOf only CreativeWork);Is [X] [prop/*OP_IS_NOUNS_PREP] [Y]?;Is an opening hours specification a subject of creative work?;op_Yes-No-2-part-1-rel;OP_IS_NOUNS_PREP;Cultural-On;Yes-No-2-part-1-rel.csv;yn2p1r;is_noun_prep;13619
[X] SubclassOf([prop] only [Y]);GeographicalFeature SubclassOf(hasCollection only Collection);True or false: [X] [prop/*OP_HAS_NOUNS-third] that is [Y].;True or false: A geographical area has a collection that is a collection.;op_Yes-No-2-part-1-rel;OP_HAS_NOUNS;Cultural-On;Yes-No-2-part-1-rel.csv;yn2p1r;has_nouns;12093
[X] SubclassOf([prop] only [Y]);AudioObject SubclassOf(isSubEventOf only Event);[X] is [prop/*OP_IS_NOUNS_PREP] [Y]. True or false?;An audio object is a sub event of an event. True or false?;op_Yes-No-2-part-1-rel;OP_IS_NOUNS_PREP;Cultural-On;Yes-No-2-part-1-rel.csv;yn2p1r;is_noun_prep;14465
[X] SubclassOf([prop] only [Y]);Address SubclassOf(describes only Collection);Does [X] [prop/*OP_VERB-infinitive] [Y]?;Does an address describe a collection?;op_Yes-No-2-part-1-rel;OP_VERB;Cultural-On;Yes-No-2-part-1-rel.csv;yn2p1r;verb;7986
[X] SubclassOf([prop] only [Y]);CulturalLandscapeAsset SubclassOf(isValidDuring only TimeInterval);True or false: [X] is [prop/*OP_IS_NOUNS_PREP] [Y].;True or false: A cultural landscape asset is a valid during time interval.;op_Yes-No-2-part-1-rel;OP_IS_NOUNS_PREP;Cultural-On;Yes-No-2-part-1-rel.csv;yn2p1r;is_noun_prep;15026
[X] SubclassOf([prop] only [Y]);SiteDescription SubclassOf(hasGeographicalLocation only GeographicalFeature);True or false: [X] [prop/*OP_HAS_NOUNS-third] that is only [Y].;True or false: A site description has a geographical location that is only a geographical area.;op_Yes-No-2-part-1-rel+1-quant-only;OP_HAS_NOUNS;Cultural-On;Yes-No-2-part-1-rel+1-quant-only.csv;yn2p1r1_1_qo;has_nouns;20833
[X] SubclassOf([prop] only [Y]);NameInTime SubclassOf(describes only Collection);True or false: [X] [prop/*OP_VERB-third] only [Y].;True or false: A name in time describes only a collection.;op_Yes-No-2-part-1-rel+1-quant-only;OP_VERB;Cultural-On;Yes-No-2-part-1-rel+1-quant-only.csv;yn2p1r1_1_qo;verb;16890
[X] SubclassOf([prop] only [Y]);TemporaryClosure SubclassOf(isMemberOf only CulturalEntity);True or false: [X] [prop/*OP_HAS_NOUNS-third] that is only [Y].;True or false: A temporary closure has a member that is only a cultural entity.;op_Yes-No-2-part-1-rel+1-quant-only;OP_HAS_NOUNS;Cultural-On;Yes-No-2-part-1-rel+1-quant-only.csv;yn2p1r1_1_qo;has_nouns;20348
[X] SubclassOf([prop] only [Y]);UserType SubclassOf(hasGeometry only Geometry);Does [X] [prop/*OP_HAS_NOUNS-infinitive] that is only [Y]?;Does an user type have a geometry that is only a geometry?;op_Yes-No-2-part-1-rel+1-quant-only;OP_HAS_NOUNS;Cultural-On;Yes-No-2-part-1-rel+1-quant-only.csv;yn2p1r1_1_qo;has_nouns;17590
[X] SubclassOf([prop] only [Y]);Collection SubclassOf(hasCollection only CulturalEntity);Does [X] [prop/*OP_HAS_NOUNS-infinitive] that is only [Y]?;Does a collection have a collection that is only a cultural entity?;op_Yes-No-2-part-1-rel+1-quant-only;OP_HAS_NOUNS;Cultural-On;Yes-No-2-part-1-rel+1-quant-only.csv;yn2p1r1_1_qo;has_nouns;17934
[X] SubclassOf([prop] only [Y]);MeasurementUnit SubclassOf(hasMeasurementUnit only MeasurementUnit);Does [X] [prop/*OP_HAS_NOUNS-infinitive] that is only [Y]?;Does a measurement unit have a measurement unit that is only a measurement unit?;op_Yes-No-2-part-1-rel+1-quant-only;OP_HAS_NOUNS;Cultural-On;Yes-No-2-part-1-rel+1-quant-only.csv;yn2p1r1_1_qo;has_nouns;17543
[X] SubclassOf([prop] only [Y]);ArchaeologicalArea SubclassOf(isMemberOf only Collection);Does [X] [prop/*OP_HAS_NOUNS-infinitive] that is only [Y]?;Does an archaeological area have a member that is only a collection?;op_Yes-No-2-part-1-rel+1-quant-only;OP_HAS_NOUNS;Cultural-On;Yes-No-2-part-1-rel+1-quant-only.csv;yn2p1r1_1_qo;has_nouns;17255
[X] SubclassOf([prop] only [Y]);ClericalAdministrativeArea SubclassOf(hasDiscipline only SubjectDiscipline);True or false: [X] [prop/*OP_HAS_NOUNS-third] that is only [Y].;True or false: A clerical administrative area has a discipline that is only a subject discipline.;op_Yes-No-2-part-1-rel+1-quant-only;OP_HAS_NOUNS;Cultural-On;Yes-No-2-part-1-rel+1-quant-only.csv;yn2p1r1_1_qo;has_nouns;20227
[X] SubclassOf([prop] only [Y]);QuantitativeValue SubclassOf(hasSubEvent only Event);Does [X] [prop/*OP_HAS_NOUNS-infinitive] that is only [Y]?;Does a quantitative value have a sub event that is only an event?;op_Yes-No-2-part-1-rel+1-quant-only;OP_HAS_NOUNS;Cultural-On;Yes-No-2-part-1-rel+1-quant-only.csv;yn2p1r1_1_qo;has_nouns;18029
[X] SubclassOf([prop] only [Y]);PriceSpecification SubclassOf(isSubEventOf only Event);Is [X] [prop/*OP_IS_NOUNS_PREP] only [Y]?;Is a price specification a sub event of only an event?;op_Yes-No-2-part-1-rel+1-quant-only;OP_IS_NOUNS_PREP;Cultural-On;Yes-No-2-part-1-rel+1-quant-only.csv;yn2p1r1_1_qo;is_noun_prep;21953
[X] SubclassOf([prop] some [Y]);PriceSpecification SubclassOf(hasCurrency some Currency);[X] [prop/*OP_HAS_NOUNS-third] that is some [Y]. True or false?;A price specification has currency that is some currency. True or false?;op_Yes-No-2-part-1-rel+1-quant-some;OP_HAS_NOUNS;Cultural-On;Yes-No-2-part-1-rel+1-quant-some.csv;yn2p1r_1_qs;has_nouns;24209
[X] SubclassOf([prop] some [Y]);CulturalInstituteOrSite SubclassOf(hasSite some Site);Does [X] [prop/*OP_HAS_NOUNS-infinitive] that is some [Y]?;Does a cultural institute or site have a site that is some site?;op_Yes-No-2-part-1-rel+1-quant-some;OP_HAS_NOUNS;Cultural-On;Yes-No-2-part-1-rel+1-quant-some.csv;yn2p1r_1_qs;has_nouns;24184
[X] SubclassOf([prop] some [Y]);HolderOfArchive SubclassOf(hasCISType some CISType);[X] [prop/*OP_HAS_NOUNS-third] that is some [Y]. True or false?;A holder of archives has a type that is some cultural institute or site type. True or false?;op_Yes-No-2-part-1-rel+1-quant-some;OP_HAS_NOUNS;Cultural-On;Yes-No-2-part-1-rel+1-quant-some.csv;yn2p1r_1_qs;has_nouns;24214
[X] SubclassOf([prop] some [Y]);Theatre SubclassOf(hasSite some Site);Does [X] [prop/*OP_HAS_NOUNS-infinitive] that is some [Y]?;Does a theatre have a site that is some site?;op_Yes-No-2-part-1-rel+1-quant-some;OP_HAS_NOUNS;Cultural-On;Yes-No-2-part-1-rel+1-quant-some.csv;yn2p1r_1_qs;has_nouns;24172
[X] SubclassOf([prop] some [Y]);ArchaeologicalPark SubclassOf(hasSite some Site);[X] [prop/*OP_HAS_NOUNS-third] that is some [Y]. True or false?;An archaeological park has a site that is some site. True or false?;op_Yes-No-2-part-1-rel+1-quant-some;OP_HAS_NOUNS;Cultural-On;Yes-No-2-part-1-rel+1-quant-some.csv;yn2p1r_1_qs;has_nouns;24205
[X] SubclassOf([prop] some [Y]);Cinema SubclassOf(hasCISType some CISType);True or false: [X] [prop/*OP_HAS_NOUNS-third] that is some [Y].;True or false: A cinema has a type that is some cultural institute or site type.;op_Yes-No-2-part-1-rel+1-quant-some;OP_HAS_NOUNS;Cultural-On;Yes-No-2-part-1-rel+1-quant-some.csv;yn2p1r_1_qs;has_nouns;24227
[X] SubclassOf([prop] some [Y]);RoleInTime SubclassOf(isHeldBy some Agent);True or false: [X] is [prop/*OP_IS_PAST_PARTICIPLE_BY] some [Y].;True or false: A role in time is held by some agent.;op_Yes-No-2-part-1-rel+1-quant-some;OP_IS_PAST_PARTICIPLE_BY;Cultural-On;Yes-No-2-part-1-rel+1-quant-some.csv;yn2p1r_1_qs;is_pp_b;24261
[X] SubclassOf([prop] some [Y]);NameInTime SubclassOf(isValidDuring some TimeInterval);Is [X] [prop/*OP_IS_NOUNS_PREP] some [Y]?;Is a name in time a valid during some time interval?;op_Yes-No-2-part-1-rel+1-quant-some;OP_IS_NOUNS_PREP;Cultural-On;Yes-No-2-part-1-rel+1-quant-some.csv;yn2p1r_1_qs;is_noun_prep;24248
[X] SubclassOf([prop] some [Y]);CulturalInstituteOrSite SubclassOf(hasCISType some CISType);Does [X] [prop/*OP_HAS_NOUNS-infinitive] that is some [Y]?;Does a cultural institute or site have a type that is some cultural institute or site type?;op_Yes-No-2-part-1-rel+1-quant-some;OP_HAS_NOUNS;Cultural-On;Yes-No-2-part-1-rel+1-quant-some.csv;yn2p1r_1_qs;has_nouns;24183
[X] SubclassOf([prop] some [Y]);NameInTime SubclassOf(isValidDuring some TimeInterval);True or false: [X] is [prop/*OP_IS_NOUNS_PREP] some [Y].;True or false: A name in time is a valid during some time interval.;op_Yes-No-2-part-1-rel+1-quant-some;OP_IS_NOUNS_PREP;Cultural-On;Yes-No-2-part-1-rel+1-quant-some.csv;yn2p1r_1_qs;is_noun_prep;24254
[X] SubclassOf([Y]);ThinAndCrispyBase SubclassOf(PizzaBase);What is [X]?;What is a thin and crispy base?;Definition;OP_DEFINITION;Pizza;Definition.csv;def;definition;24509
[X] SubclassOf([Y]);UnclosedPizza SubclassOf(CheeseyPizza);What is [X]?;What is an unclosed pizza?;Definition;OP_DEFINITION;Pizza;Definition.csv;def;definition;24487
[X] SubclassOf([Y]);PolloAdAstra SubclassOf(Pizza);What is [X]?;What is a pollo ad astra?;Definition;OP_DEFINITION;Pizza;Definition.csv;def;definition;24674
[X] SubclassOf([Y]);American SubclassOf(Pizza);What is [X]?;What is an american?;Definition;OP_DEFINITION;Pizza;Definition.csv;def;definition;24720
[X] SubclassOf([Y]);Soho SubclassOf(VegetarianPizzaEquivalent1);What is [X]?;What is a soho?;Definition;OP_DEFINITION;Pizza;Definition.csv;def;definition;24619
[X] SubclassOf([Y]);PeperonataTopping SubclassOf(DomainConcept);What is [X]?;What is a peperonata topping?;Definition;OP_DEFINITION;Pizza;Definition.csv;def;definition;24563
[X] SubclassOf([Y]);PizzaTopping SubclassOf(Food);What is [X]?;What is a pizza topping?;Definition;OP_DEFINITION;Pizza;Definition.csv;def;definition;24657
[X] SubclassOf([Y]);PrinceCarlo SubclassOf(NamedPizza);What is [X]?;What is a prince carlo?;Definition;OP_DEFINITION;Pizza;Definition.csv;def;definition;24316
[X] SubclassOf([Y]);AmericanHot SubclassOf(Food);What is [X]?;What is an american hot?;Definition;OP_DEFINITION;Pizza;Definition.csv;def;definition;24412
[X] SubclassOf([Y]);FourCheesesTopping SubclassOf(CheeseTopping);What is [X]?;What is a four cheeses topping?;Definition;OP_DEFINITION;Pizza;Definition.csv;def;definition;24431
[X] SubclassOf([prop] only [Y]);GreenPepperTopping SubclassOf(hasSpiciness only Spiciness);What [prop/*OP_HAS_NOUNS-nounsNoArticle] does [X] have?;What spiciness does a green pepper topping have?;op_What-1-part-1-rel;OP_HAS_NOUNS;Pizza;What-1-part-1-rel.csv;w1p1r;has_nouns;28219
[X] SubclassOf([prop] some [Y]);MeatyPizza SubclassOf(hasBase some DomainConcept);What [prop/*OP_HAS_NOUNS-nounsNoArticle] does [X] have?;What base does a meaty pizza have?;op_What-1-part-1-rel;OP_HAS_NOUNS;Pizza;What-1-part-1-rel.csv;w1p1r;has_nouns;24930
[X] SubclassOf([prop] only [Y]);Medium SubclassOf(isBaseOf only SlicedTomatoTopping);What is [X] [prop/*OP_IS_NOUNS_PREP]?;What is a medium a base of?;op_What-1-part-1-rel;OP_IS_NOUNS_PREP;Pizza;What-1-part-1-rel.csv;w1p1r;is_noun_prep;27312
[X] SubclassOf([prop] some [Y]);FruttiDiMare SubclassOf(hasIngredient some VegetarianTopping);What [prop/*OP_HAS_NOUNS-nounsNoArticle] does [X] have?;What ingredient does a frutti di mare have?;op_What-1-part-1-rel;OP_HAS_NOUNS;Pizza;What-1-part-1-rel.csv;w1p1r;has_nouns;25135
[X] SubclassOf([prop] some [Y]);TobascoPepperSauce SubclassOf(hasSpiciness some ValuePartition);What [prop/*OP_HAS_NOUNS-nounsNoArticle] does [X] have?;What spiciness does a tobasco pepper sauce topping have?;op_What-1-part-1-rel;OP_HAS_NOUNS;Pizza;What-1-part-1-rel.csv;w1p1r;has_nouns;24827
[X] SubclassOf([prop] only [Y]);Margherita SubclassOf(hasIngredient only DomainConcept);What [prop/*OP_HAS_NOUNS-nounsNoArticle] does [X] have?;What ingredient does a margherita have?;op_What-1-part-1-rel;OP_HAS_NOUNS;Pizza;What-1-part-1-rel.csv;w1p1r;has_nouns;28622
[X] SubclassOf([prop] only [Y]);Spiciness SubclassOf(isBaseOf only SundriedTomatoTopping);What is [X] [prop/*OP_IS_NOUNS_PREP]?;What is a spiciness a base of?;op_What-1-part-1-rel;OP_IS_NOUNS_PREP;Pizza;What-1-part-1-rel.csv;w1p1r;is_noun_prep;25550
[X] SubclassOf([prop] only [Y]);SweetPepperTopping SubclassOf(hasIngredient only Food);What [prop/*OP_HAS_NOUNS-nounsNoArticle] does [X] have?;What ingredient does a sweet pepper topping have?;op_What-1-part-1-rel;OP_HAS_NOUNS;Pizza;What-1-part-1-rel.csv;w1p1r;has_nouns;28135
[X] SubclassOf([prop] only [Y]);RealItalianPizza SubclassOf(isIngredientOf only DomainConcept);What is [X] [prop/*OP_IS_NOUNS_PREP]?;What is a real italian pizza an ingredient of?;op_What-1-part-1-rel;OP_IS_NOUNS_PREP;Pizza;What-1-part-1-rel.csv;w1p1r;is_noun_prep;27585
[X] SubclassOf([prop] only [Y]);Hot SubclassOf(isBaseOf only SultanaTopping);What is [X] [prop/*OP_IS_NOUNS_PREP]?;What is a hot a base of?;op_What-1-part-1-rel;OP_IS_NOUNS_PREP;Pizza;What-1-part-1-rel.csv;w1p1r;is_noun_prep;26968
[Z] SubclassOf([X]),[Z] SubclassOf([prop] only [Y]);NamedPizza SubclassOf(hasIngredient only DomainConcept),NamedPizza SubclassOf(DomainConcept);Which [X/noArticle] [prop/*OP_HAS_NOUNS-third] that is [Y]?;Which domain thing has an ingredient that is a domain thing?;op_What-2-part-1-rel;OP_HAS_NOUNS;Pizza;What-2-part-1-rel.csv;w2p1r;has_nouns;37388
[Z] SubclassOf([X]),[Z] SubclassOf([prop] some [Y]);FourSeasons SubclassOf(hasIngredient some AnchoviesTopping),FourSeasons SubclassOf(InterestingPizza);Which [X/noArticle] [prop/*OP_HAS_NOUNS-third] that is [Y]?;Which interesting pizza has an ingredient that is an anchovies topping?;op_What-2-part-1-rel;OP_HAS_NOUNS;Pizza;What-2-part-1-rel.csv;w2p1r;has_nouns;32489
[Z] SubclassOf([X]),[Z] SubclassOf([prop] only [Y]);Giardiniera SubclassOf(hasSpiciness only Spiciness),Giardiniera SubclassOf(DomainConcept);Which [X/noArticle] [prop/*OP_HAS_NOUNS-third] that is [Y]?;Which domain thing has a spiciness that is a spiciness?;op_What-2-part-1-rel;OP_HAS_NOUNS;Pizza;What-2-part-1-rel.csv;w2p1r;has_nouns;36444
[Z] SubclassOf([X]),[Z] SubclassOf([prop] only [Y]);SpicyPizzaEquivalent SubclassOf(hasIngredient only Food),SpicyPizzaEquivalent SubclassOf(Food);Which [X/noArticle] [prop/*OP_HAS_NOUNS-third] that is [Y]?;Which food has an ingredient that is food?;op_What-2-part-1-rel;OP_HAS_NOUNS;Pizza;What-2-part-1-rel.csv;w2p1r;has_nouns;36806
[Z] SubclassOf([X]),[Z] SubclassOf([prop] only [Y]);Spiciness SubclassOf(isBaseOf only Food),Spiciness SubclassOf(ValuePartition);Which [X/noArticle] is [prop/*OP_IS_NOUNS_PREP] [Y]?;Which value partition is a base of food?;op_What-2-part-1-rel;OP_IS_NOUNS_PREP;Pizza;What-2-part-1-rel.csv;w2p1r;is_noun_prep;38672
[Z] SubclassOf([X]),[Z] SubclassOf([prop] some [Y]);AmericanHot SubclassOf(hasIngredient some TomatoTopping),AmericanHot SubclassOf(NamedPizza);Which [X/noArticle] [prop/*OP_HAS_NOUNS-third] that is [Y]?;Which named pizza has an ingredient that is a tomato topping?;op_What-2-part-1-rel;OP_HAS_NOUNS;Pizza;What-2-part-1-rel.csv;w2p1r;has_nouns;30520
[Z] SubclassOf([X]),[Z] SubclassOf([prop] some [Y]);NamedPizza SubclassOf(hasBase some PizzaBase),NamedPizza SubclassOf(DomainConcept);Which [X/noArticle] [prop/*OP_HAS_NOUNS-third] that is [Y]?;Which domain thing has a base that is a pizza base?;op_What-2-part-1-rel;OP_HAS_NOUNS;Pizza;What-2-part-1-rel.csv;w2p1r;has_nouns;32383
[Z] SubclassOf([X]),[Z] SubclassOf([prop] only [Y]);PrawnsTopping SubclassOf(isToppingOf only Food),PrawnsTopping SubclassOf(FishTopping);Which [X/noArticle] is [prop/*OP_IS_NOUNS_PREP] [Y]?;Which seafood topping is a topping of food?;op_What-2-part-1-rel;OP_IS_NOUNS_PREP;Pizza;What-2-part-1-rel.csv;w2p1r;is_noun_prep;39139
